Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Žarko Čabarkapa,150,4.3,2.1,0.6,42.7,27.3,73.3,44.9,11.5,1.1
Barney Cable,362,6.6,5.2,1.1,42.0,66.5,10.6,6.5
Bruno Caboclo,30,99,3.0,4.3,2.0,2.6,0.4,0.7,42.7,40.0,18.2,31.6,88.9,84.6,46.1,48.1,14.1,11.4,0.4,1.5
Devontae Cacok,1,1,6.0,6.0,5.0,5.0,1.0,1.0,50.0,50.0,-,-,-,-,50.0,50.0,28.6,28.6,0.0,0.0
Jason Caffey,462,7.3,4.4,0.9,48.1,0.0,63.7,48.1,12.5,13.5
Michael Cage,1140,7.3,7.6,0.9,51.5,0.0,66.4,51.5,13.9,74.4
Gerry Calabrese,104,4.7,1.4,1.4,34.8,70.2,9.4,1.9
Nick Calathes,129,4.6,1.9,2.7,44.1,28.8,58.1,46.8,12.3,2.6
José Calderón,895,8.9,2.4,5.8,47.2,40.7,87.3,54.3,15.8,58.3
Adrian Caldwell,197,2.0,2.5,0.2,48.5,0.0,45.3,48.5,8.7,1.1
Jim Caldwell,137,7.1,7.7,2.0,42.5,13.3,63.1,42.6,13.2,5.7
Joe Caldwell,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8
Kentavious Caldwell-Pope,69,539,9.3,11.6,2.1,3.2,1.6,1.6,46.7,41.8,38.5,34.9,77.5,79.7,55.8,49.9,11.0,12.0,3.7,27.6
Bill Calhoun,442,7.8,4.0,2.3,34.1,70.2,11.1,18.5
Corky Calhoun,542,5.3,3.6,1.1,46.0,-,78.2,46.0,9.3,14.4
Demetrius Calip,7,1.6,0.7,1.7,22.2,20.0,66.7,25.0,1.8,-0.2
Tom Callahan,13,1.3,-,0.3,20.7,41.7,-,-0.1
Rick Calloway,64,3.2,1.2,1.0,39.1,0.0,69.6,39.1,6.6,-0.3
Ernie Calverley,165,11.9,-,3.5,29.1,70.7,-,5.8
Mack Calvin,755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4
Dexter Cambridge,53,7.0,3.2,1.1,48.4,0.0,68.7,48.4,12.1,0.4
Marcus Camby,973,9.5,9.8,1.9,46.6,20.5,67.0,46.8,17.8,81.6
Elden Campbell,1044,10.3,5.9,1.1,46.0,5.4,69.9,46.0,15.9,62.8
Tony Campbell,690,11.6,3.1,1.5,45.6,25.4,79.0,46.0,14.5,20.7
Isaiah Canaan,235,8.1,1.9,1.9,37.1,35.1,83.6,48.1,10.7,4.3
Vlatko Čančar,14,14,1.2,1.2,0.7,0.7,0.2,0.2,40.0,40.0,16.7,16.7,100.0,100.0,43.3,43.3,11.4,11.4,0.1,0.1
Larry Cannon,213,16.6,2.9,3.6,41.1,25.7,76.0,41.5,14.8,7.1
Clint Capela,39,334,13.9,12.2,13.8,9.7,1.2,1.0,62.9,63.4,-,0.0,52.9,52.6,62.9,63.4,20.6,22.0,4.9,36.4
Derrick Caracter,41,2.0,1.0,0.2,48.5,-,73.9,48.5,10.0,0.3
Frank Card,306,9.5,5.6,1.2,46.1,17.6,63.2,46.1,12.3,11.1
Brian Cardinal,456,4.6,2.3,1.0,40.8,37.2,86.1,48.2,12.7,15.4
Howie Carl,31,5.5,1.3,1.8,33.3,70.6,9.4,-0.5
Chet Carlisle,51,5.0,-,0.3,26.8,60.9,-,1.6
Geno Carlisle,6,1.3,0.2,0.2,66.7,-,66.7,66.7,18.1,0.1
Rick Carlisle,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7.0,0.5
Don Carlos,56,11.2,5.0,2.8,41.0,0.0,75.6,41.0,11.9,2.7
Al Carlson,28,2.6,2.6,0.5,34.2,62.1,9.0,0.1
Don Carlson,180,8.0,1.7,1.8,33.0,62.3,-,11.3
Bob Carney,19,3.6,2.4,0.8,37.5,52.5,8.7,0.3
Rodney Carney,299,5.9,2.0,0.4,42.2,33.8,70.4,48.5,11.9,6.2
Bob Carpenter,122,7.7,4.1,1.4,33.7,76.8,-,6.9
Antoine Carr,987,9.3,3.4,1.1,50.3,13.0,78.0,50.3,14.2,42.1
Austin Carr,682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15.0,32.9
Chris Carr,297,6.7,2.2,1.0,41.6,33.8,80.7,46.2,11.9,3.9
Cory Carr,42,4.1,1.2,1.6,32.9,16.7,75.0,34.0,5.1,-1.2
Kenny Carr,674,11.6,7.4,1.4,51.0,7.9,68.4,51.0,14.7,33.6
M.L. Carr,678,10.0,4.5,2.0,47.2,27.5,73.7,47.6,14.0,33.5
Darel Carrier,350,20.0,3.4,2.6,41.7,37.7,85.1,45.1,15.6,30.5
Bob Carrington,82,8.2,2.3,1.5,42.8,0.0,76.0,42.8,9.4,1.3
DeMarre Carroll,24,578,3.6,8.9,2.3,4.2,1.0,1.3,37.9,43.0,24.2,35.8,69.0,74.1,43.9,50.8,9.1,13.3,0.3,29.5
Joe Barry Carroll,705,17.7,7.7,1.8,47.4,0.0,74.7,47.4,16.4,35.6
Matt Carroll,459,6.6,1.9,0.7,41.3,38.4,84.1,48.2,11.6,10.7
