Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Bill Gabor,307,9.8,1.8,2.0,34.4,73.7,12.8,11.2
Wenyen Gabriel,30,30,2.1,2.1,1.7,1.7,0.3,0.3,43.8,43.8,30.0,30.0,68.2,68.2,50.0,50.0,9.6,9.6,0.2,0.2
Dan Gadzuric,527,4.7,4.4,0.4,50.0,0.0,49.8,50.0,14.4,15.8
Daniel Gafford,43,43,5.1,5.1,2.5,2.5,0.5,0.5,70.1,70.1,-,-,53.3,53.3,70.1,70.1,16.2,16.2,1.9,1.9
Deng Gai,2,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Elmer Gainer,20,1.5,-,0.5,22.7,64.3,-,-0.3
Bill Gaines,1,2.0,1.0,0.0,50.0,-,-,50.0,7.6,0.0
Corey Gaines,80,3.1,0.9,3.1,42.4,22.9,73.6,44.9,10.8,1.1
David Gaines,3,3.3,3.3,0.0,25.0,100.0,50.0,28.1,4.8,-0.1
Reece Gaines,71,1.7,0.7,0.7,32.4,26.9,60.6,34.8,5.3,-0.6
Sundiata Gaines,113,4.5,1.5,1.8,39.7,30.1,56.2,44.5,14.5,1.4
Mike Gale,842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6
Chad Gallagher,2,3.0,0.0,0.0,100.0,-,-,100.0,66.8,0.1
Harry Gallatin,682,13.0,11.9,1.8,39.8,77.3,21.5,78.4
Gene Gallette,14,0.6,-,0.1,9.1,66.7,-,0.2
Danilo Gallinari,62,611,18.7,16.2,5.2,4.9,1.9,2.0,43.8,42.7,40.5,38.0,89.3,87.3,54.7,51.3,19.5,17.2,6.3,56.7
Langston Galloway,66,405,10.3,8.5,2.3,2.6,1.5,1.7,43.5,39.6,39.9,36.7,85.9,81.0,55.7,49.2,12.3,11.5,3.1,13.7
Dave Gambee,750,10.6,5.2,1.0,42.0,82.2,14.5,35.1
Kevin Gamble,649,9.5,2.2,2.0,50.2,36.0,81.0,52.4,14.2,33.3
Bob Gantt,23,3.1,-,0.2,32.6,46.4,-,1.3
Jorge Garbajosa,74,8.0,4.7,1.7,41.5,34.4,73.1,48.0,12.0,3.0
Rubén Garcés,13,1.2,2.2,0.4,31.8,-,25.0,31.8,9.7,0.0
Alex Garcia,10,4.7,1.5,1.8,32.2,27.8,66.7,36.4,7.4,-0.1
Francisco García,549,7.9,2.6,1.4,42.7,35.7,79.9,50.7,12.3,18.2
Chuck Gardner,42,4.7,3.2,0.3,40.6,0.0,69.6,40.6,10.4,1.0
Earl Gardner,50,1.8,-,0.4,37.6,46.4,-,0.7
Kenneth Gardner,9,1.6,1.4,0.3,33.3,-,100.0,33.3,10.1,0.1
Thomas Gardner,20,2.3,0.6,0.2,30.5,20.0,33.3,36.4,2.4,-0.4
Vern Gardner,151,8.9,4.0,1.6,34.4,74.8,11.1,7.4
Jack Garfinkel,92,5.2,-,1.5,27.5,70.5,-,0.9
Patricio Garino,5,0.0,1.4,0.0,0.0,0.0,-,0.0,-9.2,-0.2
Darius Garland,59,59,12.3,12.3,1.9,1.9,3.9,3.9,40.1,40.1,35.5,35.5,87.5,87.5,47.6,47.6,8.5,8.5,-1.3,-1.3
Gary Garland,78,4.3,1.8,1.9,43.5,31.6,69.2,44.4,10.2,0.5
Winston Garland,511,9.4,2.8,4.7,43.0,28.1,83.0,43.8,12.5,14.2
Dick Garmaker,421,13.3,4.2,2.6,40.3,78.7,14.2,25.6
Bill Garner,53,1.5,2.2,0.5,27.2,0.0,50.0,27.2,-1.2,-0.7
Chris Garner,46,1.6,0.8,1.4,28.0,19.0,61.5,29.9,4.1,-0.8
Bill Garnett,300,5.5,4.3,1.3,49.0,0.0,72.0,49.0,12.3,10.8
Kevin Garnett,1462,17.8,10.0,3.7,49.7,27.5,78.9,50.1,22.7,191.4
Marlon Garnett,24,2.1,0.9,0.8,29.4,26.1,75.0,35.3,6.5,0.0
Billy Garrett,4,6.5,0.8,1.8,40.7,0.0,100.0,40.7,9.8,0.0
Calvin Garrett,166,5.2,2.6,1.5,45.7,30.0,76.7,46.1,8.9,2.6
Dean Garrett,359,4.8,5.0,0.6,48.0,-,67.7,48.0,13.3,14.1
Diante Garrett,90,3.2,1.2,1.7,37.3,35.1,68.2,43.5,7.3,-1.0
Dick Garrett,339,10.3,3.0,2.5,42.3,86.3,10.8,6.0
Rowland Garrett,263,5.1,2.3,0.4,44.1,77.2,13.4,5.4
Tom Garrick,251,5.4,2.0,3.4,46.9,8.3,77.5,47.1,11.6,5.9
John Garris,33,4.0,2.3,0.3,51.0,-,79.4,51.0,18.5,0.9
Kiwane Garris,31,2.3,0.6,1.0,32.0,33.3,76.0,35.3,7.5,-0.2
Pat Garrity,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
Jim Garvin,6,0.3,0.8,0.0,25.0,-,3.9,0.0
Marc Gasol,44,839,7.5,14.6,6.3,7.6,3.3,3.4,42.7,48.1,38.5,35.4,73.5,77.7,52.9,50.2,11.8,18.2,3.0,82.5
Pau Gasol,1226,17.0,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1
Frank Gates,64,4.5,-,1.4,28.1,62.2,-,1.3
Chris Gatling,700,10.3,5.3,0.7,51.3,24.9,66.0,51.7,17.6,32.1
Kenny Gattison,494,7.9,4.7,0.9,52.0,8.3,64.9,52.0,13.0,16.9
Rudy Gay,67,946,10.8,17.1,5.4,5.9,1.7,2.2,44.6,45.6,33.6,34.7,88.2,79.9,50.8,49.2,15.4,16.7,2.1,57.0
Ed Gayda,15,3.7,2.6,0.9,41.3,75.0,-,0.6
Andrew Gaze,26,1.7,0.5,0.4,38.1,37.5,100.0,48.8,9.6,0.1
Michael Gbinije,9,0.4,0.3,0.2,10.0,0.0,100.0,10.0,-2.1,-0.1
Reggie Geary,101,2.1,0.8,1.1,34.4,32.8,49.3,38.8,7.3,0.6
