Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Warren Jabali,447,17.1,6.7,5.3,43.1,31.9,75.6,45.7,16.3,35.1
Jarrett Jack,867,10.8,2.9,4.6,44.0,34.3,85.5,48.0,14.1,36.8
Aaron Jackson,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Al Jackson,2,0.0,0.0,0.5,0.0,-,-9.2,-0.1
Bobby Jackson,755,9.7,3.1,2.6,41.7,35.4,79.3,47.0,15.2,31.4
Cedric Jackson,12,1.7,0.7,1.2,30.0,16.7,58.3,32.5,5.5,-0.2
Darnell Jackson,138,2.2,1.5,0.2,44.9,23.5,64.4,45.6,8.7,1.3
Demetrius Jackson,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13.0,0.2
Frank Jackson,59,120,6.3,7.2,1.4,1.8,1.0,1.1,40.5,42.2,32.6,31.9,74.7,74.3,47.6,48.6,9.1,9.3,0.2,0.6
Greg Jackson,49,3.7,1.4,2.0,41.5,58.1,7.6,-0.1
Jaren Jackson,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
Jaren Jackson,57,115,17.4,15.5,4.6,4.6,1.4,1.2,46.9,48.5,39.4,38.4,74.7,75.7,56.5,55.8,16.3,16.3,3.5,6.8
Jermaine Jackson,135,1.9,1.1,1.4,40.1,15.8,71.1,40.8,8.8,1.0
Jim Jackson,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8
Josh Jackson,22,178,9.0,11.9,3.0,4.3,1.6,1.9,44.0,41.7,31.9,29.8,70.0,65.5,51.3,45.7,14.1,11.5,0.5,-1.8
Justin Jackson,65,214,5.5,6.5,2.4,2.6,0.8,1.0,39.6,43.1,29.4,32.4,84.0,78.8,46.6,50.8,9.5,10.1,1.2,5.0
Luke Jackson,522,9.9,8.8,1.6,41.5,72.2,12.7,22.3
Luke Jackson,73,3.5,1.2,0.8,35.7,36.0,73.2,42.6,9.3,0.2
Marc Jackson,387,8.4,4.3,0.8,44.6,22.6,81.4,44.7,14.1,13.0
Mark Jackson,1296,9.6,3.8,8.0,44.7,33.2,77.0,48.1,16.0,91.8
Mervin Jackson,262,11.6,3.3,3.1,41.1,33.6,81.7,42.0,11.8,7.5
Michael Jackson,89,2.1,0.8,2.2,36.9,27.3,67.5,39.1,7.7,-0.2
Mike Jackson,264,10.2,5.7,1.0,50.8,26.7,76.6,50.9,13.3,9.0
Myron Jackson,8,1.4,0.4,0.8,22.2,-,87.5,22.2,10.6,0.0
Phil Jackson,807,6.7,4.3,1.1,45.3,0.0,73.6,45.3,12.5,29.3
Pierre Jackson,8,4.4,1.1,2.4,33.3,27.3,85.7,37.2,13.0,0.0
Ralph Jackson,1,2.0,1.0,4.0,33.3,-,-,33.3,15.6,0.0
Randell Jackson,28,4.1,1.9,0.3,42.6,14.3,65.6,43.1,11.5,-0.1
Reggie Jackson,31,561,11.9,12.8,3.0,3.0,4.1,4.4,41.1,42.8,39.3,33.7,83.3,85.8,49.8,48.0,13.7,16.0,1.1,29.4
Stanley Jackson,17,2.2,1.6,0.9,51.5,20.0,100.0,53.0,17.8,0.2
Stephen Jackson,858,15.1,3.9,3.1,41.4,33.3,79.8,47.1,14.3,36.1
Tony Jackson,138,15.9,5.4,2.0,37.5,27.5,85.1,41.0,17.3,10.5
Tony Jackson,2,1.0,1.0,1.0,33.3,-,-,33.3,12.9,0.0
Tracy Jackson,129,5.4,1.9,1.0,46.3,15.4,74.9,46.5,11.8,2.4
Wardell Jackson,56,4.3,2.4,0.5,39.7,71.8,7.0,0.3
Fred Jacobs,18,2.8,-,0.3,27.5,48.0,-,0.7
Casey Jacobsen,287,5.2,1.8,1.1,39.3,35.2,76.9,48.0,9.2,6.2
Sam Jacobson,68,4.2,1.2,0.5,51.1,36.0,73.9,53.0,11.2,1.1
Dave Jamerson,90,3.4,0.9,0.7,39.2,27.7,86.0,41.3,12.0,0.2
Aaron James,356,10.8,4.1,1.0,48.1,76.0,13.6,13.1
Bernard James,92,2.2,2.3,0.1,49.7,0.0,68.0,49.7,13.8,1.9
Billy James,1,2.0,0.0,1.0,33.3,-,-,33.3,-4.8,0.0
Damion James,39,3.8,3.4,0.7,41.5,0.0,66.7,41.5,8.5,0.0
Gene James,88,3.4,2.9,1.1,33.4,56.1,-,0.8
Henry James,212,6.1,1.5,0.4,41.4,37.8,81.0,48.1,11.3,3.5
Jerome James,358,4.3,3.1,0.3,48.5,0.0,61.7,48.5,10.6,2.9
Justin James,36,36,2.5,2.5,0.9,0.9,0.5,0.5,41.7,41.7,31.0,31.0,47.6,47.6,47.0,47.0,11.0,11.0,0.1,0.1
LeBron James,67,1265,25.3,27.1,7.8,7.4,10.2,7.4,49.3,50.4,34.8,34.4,69.3,73.4,55.0,54.1,25.5,27.5,9.8,236.4
Mike James,595,9.9,2.2,3.5,41.7,37.9,80.2,48.4,14.0,22.3
Mike James,36,9.3,2.5,3.5,38.3,26.5,76.2,42.4,13.9,0.2
Tim James,43,1.6,1.1,0.3,32.9,33.3,65.2,33.5,6.3,0.0
Antawn Jamison,1083,18.5,7.5,1.6,45.1,34.6,72.4,48.5,18.1,87.8
Harold Jamison,37,1.9,1.6,0.3,46.0,-,42.4,46.0,11.7,0.4
John Janisch,70,10.5,-,0.7,28.8,65.4,-,6.0
Howie Janotta,9,3.4,-,0.4,30.0,81.3,-,0.2
