Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Mfiondu Kabengele,12,12,3.5,3.5,0.9,0.9,0.2,0.2,43.8,43.8,45.0,45.0,100.0,100.0,57.8,57.8,18.2,18.2,0.2,0.2
Whitey Kachan,52,2.2,-,0.7,26.8,64.3,-,0.7
George Kaftan,212,7.5,3.1,1.9,37.0,65.0,13.7,8.9
Ed Kalafat,209,7.1,5.7,1.5,34.5,68.8,11.5,5.3
Chris Kaman,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6
Frank Kaminsky,39,321,9.7,9.8,4.5,4.0,1.9,1.6,45.0,42.2,33.1,34.7,67.8,75.0,51.6,49.4,14.2,13.8,1.4,12.4
Enes Kanter,58,641,8.1,11.6,7.4,7.6,1.0,0.9,57.2,54.3,14.3,28.7,70.7,77.6,57.3,54.6,22.4,20.7,4.4,44.0
Ralph Kaplowitz,105,5.6,-,0.5,26.3,74.9,-,5.2
Jason Kapono,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
Tony Kappen,59,6.5,-,0.5,23.8,79.5,-,0.7
Sergey Karasev,95,3.0,1.5,0.9,39.5,28.2,84.2,45.9,8.7,0.8
Coby Karl,24,2.4,1.3,1.0,34.5,25.0,75.0,39.7,9.2,0.0
George Karl,264,6.5,1.4,3.0,46.5,22.2,78.0,46.9,13.2,7.7
Ed Kasid,8,1.5,-,0.8,28.6,0.0,-,0.0
Mario Kasun,73,2.7,2.6,0.2,46.7,0.0,63.6,46.7,10.8,0.8
Leo Katkaveck,107,4.3,-,1.3,31.7,68.5,-,1.9
Bob Kauffman,525,11.5,7.0,2.7,47.7,74.9,16.8,31.5
Sasha Kaun,25,0.9,1.0,0.1,52.9,-,45.5,52.9,12.5,0.2
Wilbert Kautz,50,5.1,-,0.7,25.5,53.4,-,0.8
Clarence Kea,51,3.9,2.5,0.4,48.5,0.0,69.2,48.5,13.8,1.0
Mike Kearns,6,0.2,0.5,0.8,0.0,25.0,1.0,-0.1
Tommy Kearns,1,2.0,0.0,0.0,100.0,-,8.8,0.0
Adam Keefe,617,5.0,4.1,0.7,50.2,7.1,71.4,50.2,12.9,24.9
Harold Keeling,20,2.2,0.3,0.5,43.6,-,71.4,43.6,16.1,0.1
Bill Keller,556,11.8,2.4,3.6,42.5,33.8,87.2,46.9,15.0,30.1
Gary Keller,122,6.0,4.5,0.4,38.8,0.0,63.2,38.8,12.6,3.5
Ken Keller,28,0.8,-,0.0,33.3,40.0,-,0.4
Rich Kelley,814,7.6,7.0,2.6,48.8,0.0,78.3,48.8,15.0,42.5
Clark Kellogg,260,18.9,9.5,2.9,49.7,33.8,75.7,50.0,19.3,20.9
Arvesta Kelly,188,8.0,2.6,1.8,44.5,25.3,63.7,46.4,9.9,5.6
Jerry Kelly,46,5.7,-,0.5,29.1,66.1,-,2.4
Ryan Kelly,163,6.0,3.1,1.3,37.8,31.6,79.7,43.8,10.5,3.0
Tom Kelly,27,7.1,-,1.4,33.5,61.6,-,1.4
Greg Kelser,305,9.7,4.6,1.3,48.6,16.7,68.6,48.8,14.2,8.6
Ben Kelso,46,1.8,0.7,0.4,36.5,68.2,6.8,0.0
Shawn Kemp,1051,14.6,8.4,1.6,48.8,27.7,74.1,49.0,19.1,89.5
Tim Kempton,280,4.5,2.8,1.1,48.1,0.0,67.7,48.1,9.8,3.3
Frank Kendrick,24,3.3,1.5,0.3,40.3,81.8,20.3,0.3
Luke Kennard,28,164,15.8,9.8,3.5,2.8,4.1,2.2,44.2,44.1,39.9,40.2,89.3,86.3,54.8,53.9,14.4,12.6,1.9,7.0
D.J. Kennedy,2,6.0,3.5,1.5,41.7,50.0,0.0,50.0,4.7,0.0
Goo Kennedy,333,8.2,5.6,0.9,54.8,100.0,67.0,54.8,15.2,20.2
Joe Kennedy,168,5.7,3.6,0.8,37.6,0.0,80.4,37.6,9.3,0.2
