Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Arvydas Sabonis,470,12.0,7.3,2.1,50.0,32.8,78.6,51.7,21.2,47.3
Domantas Sabonis,62,291,18.5,12.1,12.4,8.0,5.0,2.6,54.0,52.2,25.4,32.1,72.3,72.2,55.0,53.8,20.7,17.2,7.5,20.6
Robert Sacre,189,4.2,3.1,0.7,43.6,0.0,67.1,43.6,10.8,2.4
Ed Sadowski,229,15.6,-,1.8,35.4,69.7,-,36.2
Kenny Sailors,276,12.6,2.0,2.8,32.9,71.2,-,17.1
John Salley,748,7.0,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5
John Salmons,895,9.3,2.9,2.4,43.1,36.6,79.9,48.3,12.1,33.9
Al Salvadori,17,3.2,2.7,0.2,36.2,100.0,68.8,37.1,6.0,-0.1
Kevin Salvadori,39,1.1,1.2,0.3,28.3,-,66.7,28.3,6.1,-0.2
Soumaila Samake,47,1.4,1.6,0.1,38.9,-,46.2,38.9,10.0,0.3
Luka Šamanić,3,3,5.3,5.3,3.3,3.3,2.0,2.0,31.3,31.3,37.5,37.5,75.0,75.0,40.6,40.6,8.8,8.8,0.0,0.0
Cheikh Samb,22,1.0,1.4,0.0,25.0,0.0,44.4,25.0,7.1,-0.1
Brandon Sampson,14,5.1,1.1,0.7,46.7,37.9,66.7,55.8,8.5,0.0
JaKarr Sampson,34,207,4.6,5.3,2.6,2.7,0.6,0.8,59.1,46.8,15.4,25.1,66.7,67.1,60.0,49.9,12.6,10.4,1.2,3.2
Jamal Sampson,72,2.0,3.4,0.4,49.1,0.0,53.7,49.1,13.0,1.4
Ralph Sampson,456,15.4,8.8,2.3,48.6,17.2,66.1,48.7,16.0,20.1
Samardo Samuels,109,5.9,3.4,0.4,44.5,0.0,65.3,44.5,10.8,0.6
Pepe Sánchez,38,0.5,0.6,1.3,27.3,0.0,100.0,27.3,12.3,0.4
Al Sanders,4,2.0,1.3,0.0,100.0,-,66.7,100.0,6.6,0.1
Frankie Sanders,69,5.1,1.9,1.0,43.0,-,82.2,43.0,13.6,0.5
Jeff Sanders,55,2.0,1.9,0.5,39.5,-,60.9,39.5,7.1,-0.1
Larry Sanders,238,6.4,5.7,0.7,48.0,0.0,55.3,48.0,15.4,10.3
Melvin Sanders,16,2.6,1.4,0.2,48.5,66.7,70.0,51.5,10.5,0.2
Mike Sanders,648,8.0,3.0,1.4,48.2,22.1,76.9,48.4,11.9,17.9
Tom Sanders,916,9.6,6.3,1.1,42.8,76.7,11.9,56.5
Ron Sanford,1,0.0,0.0,0.0,-,-,-,-,-10.4,0.0
Daniel Santiago,122,3.4,2.1,0.3,46.9,-,68.5,46.9,9.3,1.9
Bob Santini,4,2.8,0.8,0.3,50.0,50.0,12.7,0.1
Wayne Sappleton,33,2.9,2.3,0.2,47.1,-,41.2,47.1,7.7,0.1
Dario Šarić,66,306,10.7,12.2,6.2,6.2,1.9,2.1,47.6,44.1,35.7,35.8,84.4,83.7,55.4,51.7,14.2,14.0,3.6,14.7
Jason Sasser,14,2.1,1.1,0.3,41.2,33.3,50.0,42.6,7.6,0.0
Jeryl Sasser,82,2.5,2.3,0.8,30.3,29.5,68.7,33.3,8.3,0.7
Tomáš Satoranský,65,275,9.9,7.4,3.9,3.1,5.4,4.1,43.0,46.9,32.2,36.9,87.6,81.7,48.8,52.6,13.5,13.6,3.5,13.8
Kenny Satterfield,75,4.3,1.3,2.3,33.5,21.8,74.6,35.1,8.3,-1.1
Pep Saul,384,5.6,2.0,1.6,36.0,73.9,7.5,9.8
Woody Sauldsberry,462,10.7,7.8,1.1,34.8,61.0,7.7,-7.9
Glynn Saulters,22,2.7,0.9,0.5,31.4,0.0,68.2,31.4,5.7,-0.2
Fred Saunders,210,5.3,3.0,1.1,44.3,68.2,11.4,3.1
Don Savage,17,3.2,1.8,0.8,24.2,68.6,7.2,-0.1
Predrag Savović,27,3.1,0.9,0.8,31.2,15.4,72.4,33.3,6.0,-0.2
Alan Sawyer,33,6.6,3.7,0.8,37.0,86.0,-,0.9
Brian Scalabrine,520,3.1,2.0,0.8,39.0,34.4,78.3,45.0,7.7,7.6
Alex Scales,1,0.0,0.0,0.0,-,-,-,-,-,0.0
DeWayne Scales,49,4.6,2.9,0.2,41.7,16.7,62.8,41.9,10.9,0.2
Frank Schade,9,1.1,0.7,1.1,28.6,100.0,5.8,0.0
Ben Schadler,37,1.5,-,0.2,19.8,76.9,-,-0.5
Herm Schaefer,123,7.6,-,3.2,37.9,82.8,-,12.2
Billy Schaeffer,137,5.9,2.1,0.7,47.2,23.1,73.2,47.6,12.1,3.1
Bob Schafer,65,4.2,1.3,1.0,29.8,77.7,7.0,-0.7
Ben Scharnus,52,2.0,-,0.4,19.9,61.7,-,-0.1
Marv Schatzman,34,3.4,-,1.1,24.7,58.0,-,-0.9
Fred Schaus,334,12.2,6.0,2.9,35.2,82.3,14.7,31.4
Danny Schayes,1138,7.7,5.0,1.1,48.1,13.3,80.6,48.1,13.4,48.8
Dolph Schayes,996,18.5,12.1,3.1,38.0,84.9,22.0,142.4
Ossie Schectman,54,8.1,-,2.0,27.6,62.0,-,4.3
Steve Scheffler,174,1.9,1.0,0.1,55.8,20.0,75.9,56.0,13.5,2.9
Tom Scheffler,39,1.3,1.9,0.3,41.2,-,50.0,41.2,6.9,0.2
Dave Schellhase,73,2.8,1.0,0.8,34.9,56.7,8.6,-0.6
Luke Schenscher,31,1.8,1.7,0.3,46.9,-,45.0,46.9,6.9,0.3
Herb Scherer,32,3.6,2.4,0.7,28.9,59.2,3.9,-0.4
Dwayne Schintzius,217,2.7,2.5,0.4,40.4,12.5,63.8,40.5,9.4,1.0
Dale Schlueter,586,5.3,5.2,1.6,49.7,67.8,13.7,20.8
Otto Schnellbacher,43,6.4,-,1.5,33.2,66.9,-,1.2
Dick Schnittker,364,8.3,3.8,1.3,37.9,82.5,13.8,22.0
Russ Schoene,290,5.1,2.5,0.6,43.5,33.5,75.1,45.7,11.1,4.5
Admiral Schofield,33,33,3.0,3.0,1.4,1.4,0.5,0.5,38.0,38.0,31.1,31.1,66.7,66.7,48.4,48.4,6.1,6.1,0.1,0.1
Dave Scholz,1,2.0,0.0,0.0,100.0,-,67.6,0.0
Milt Schoon,103,6.0,-,0.9,34.2,60.5,-,4.4
Detlef Schrempf,1136,13.9,6.2,3.4,49.1,38.4,80.3,51.3,17.2,109.5
Dennis Schröder,65,496,18.9,14.1,3.6,2.8,4.0,4.6,46.9,43.6,38.5,33.7,83.9,82.8,53.4,48.2,16.7,15.1,3.6,16.7
Howie Schultz,173,5.3,3.1,1.7,27.1,71.1,8.0,5.6
Dick Schulz,205,5.6,-,1.0,25.9,71.9,-,4.3
Roger Schurig,21,4.8,1.4,0.9,37.2,37.5,75.0,38.8,7.6,0.3
John Schweitz,22,2.6,1.0,0.8,33.3,0.0,70.0,33.3,4.2,-0.5
Luis Scola,743,12.0,6.7,1.6,49.3,33.9,74.0,49.9,16.3,45.7
Fred Scolari,534,11.3,2.7,2.6,32.1,81.8,13.2,30.2
Alvin Scott,627,4.9,3.2,1.4,48.1,20.0,73.3,48.2,11.3,23.0
Brent Scott,16,1.2,0.6,0.2,47.1,-,50.0,47.1,7.0,0.0
Byron Scott,1073,14.1,2.8,2.5,48.2,37.0,83.3,51.4,15.5,75.2
Charlie Scott,717,20.7,4.0,4.9,44.8,25.3,77.3,44.9,15.8,41.4
Dennis Scott,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4
James Scott,8,0.1,0.8,0.4,0.0,0.0,50.0,0.0,-4.1,-0.1
Mike Scott,68,504,6.0,7.0,3.6,3.2,0.8,0.9,42.6,45.9,36.9,36.4,81.1,75.9,54.0,53.4,11.2,12.9,2.5,15.8
Ray Scott,811,14.3,9.8,2.2,40.9,60.0,72.7,40.9,15.9,34.7
Shawnelle Scott,105,1.8,2.2,0.2,46.4,-,46.5,46.4,13.1,1.3
Willie Scott,8,1.6,0.5,0.3,40.0,-,16.7,40.0,-7.1,-0.1
Paul Scranton,5,1.8,3.2,0.2,44.4,-,25.0,44.4,10.6,0.0
Carey Scurry,180,4.7,2.9,1.1,48.0,25.0,66.6,48.6,14.1,5.3
Bruce Seals,348,8.9,4.2,1.0,42.3,20.4,67.2,42.6,11.5,7.8
Shea Seals,4,1.0,1.0,0.0,12.5,0.0,50.0,12.5,4.9,-0.1
Malik Sealy,493,10.1,3.2,1.7,42.6,29.2,80.9,44.4,13.6,17.1
Ed Searcy,4,1.5,0.0,0.3,33.3,100.0,5.6,0.0
Kenny Sears,529,13.9,7.8,1.6,45.5,82.6,18.4,55.8
Wayne See,61,5.2,-,2.3,37.3,69.6,-,1.6
Thabo Sefolosha,41,869,2.2,5.7,2.3,3.7,0.6,1.4,40.7,44.9,27.8,34.9,37.5,73.2,48.9,50.9,9.4,11.4,0.7,39.3
Rony Seikaly,678,14.7,9.5,1.3,48.4,18.8,67.9,48.4,15.7,37.3
Glen Selbo,13,3.2,-,1.8,19.6,75.9,-,-0.2
Josh Selby,38,2.2,0.5,0.9,33.0,14.3,72.0,34.6,2.7,-0.7
Wayne Selden,124,7.3,2.0,1.5,41.6,34.3,72.3,48.5,9.2,0.1
Brad Sellers,398,6.3,2.7,1.1,45.2,20.0,79.3,45.4,11.1,9.8
Phil Sellers,44,4.5,0.9,0.6,38.4,72.2,14.0,0.0
Rollie Seltz,34,7.8,-,1.9,30.1,76.9,-,1.8
Lester Selvage,82,13.5,2.7,3.1,35.4,31.6,74.1,42.4,10.6,2.3
Frank Selvy,565,10.8,3.7,2.8,39.4,72.8,9.8,17.9
Jim Seminoff,231,6.5,-,2.7,30.8,68.1,-,16.9
Mouhamed Sene,47,2.2,1.6,0.0,42.7,-,58.9,42.7,13.5,0.3
George Senesky,482,7.2,3.5,3.2,31.3,70.2,10.4,21.8
Kevin Séraphin,423,5.9,3.5,0.6,48.9,0.0,71.5,48.9,12.1,5.9
Ansu Sesay,127,3.2,1.8,0.5,43.4,27.6,64.0,44.5,11.1,1.4
Ramon Sessions,691,10.3,2.7,4.1,43.4,31.6,79.1,45.3,15.9,28.8
Ha Seung-Jin,46,1.5,1.5,0.1,51.9,-,50.0,51.9,5.4,-0.2
