Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Edwin Ubiles,4,3.5,2.5,0.3,27.8,20.0,100.0,30.6,7.3,0.0
Ekpe Udoh,384,3.5,2.9,0.7,45.3,0.0,71.8,45.3,12.0,10.4
Ime Udoka,316,5.2,2.9,1.0,41.7,35.6,70.5,49.2,10.8,8.8
Beno Udrih,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14.0,31.4
Roko Ukić,85,4.0,0.9,1.9,38.7,18.9,74.6,40.7,10.0,-0.2
Tyler Ulis,133,7.5,1.7,4.0,40.3,28.0,80.8,43.5,11.3,0.5
Wes Unseld,984,10.8,14.0,3.9,50.9,50.0,63.3,50.9,16.0,110.1
Hal Uplinger,23,3.7,1.3,1.1,35.1,90.9,10.7,0.1
Kelvin Upshaw,120,5.4,1.2,2.1,45.3,23.7,79.5,46.5,13.1,1.6
Jarrod Uthoff,7,16,2.7,3.7,0.9,1.8,0.0,0.6,38.9,41.1,33.3,33.3,100.0,77.8,47.2,46.4,8.8,12.3,0.0,0.2
Ben Uzoh,60,4.0,2.1,2.2,39.5,33.3,58.7,40.1,13.0,0.7
