Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Stephen Vacendak,83,9.9,2.9,2.3,39.0,20.0,75.4,39.1,11.4,1.8
Jonas Valančiūnas,70,559,14.9,12.4,11.3,8.9,1.9,0.9,58.5,56.2,35.2,35.5,74.0,78.1,60.6,57.0,22.2,20.2,7.0,52.3
Darnell Valentine,620,8.7,2.1,5.0,43.7,26.1,78.7,44.2,14.0,22.1
Denzel Valentine,36,170,6.8,7.8,2.1,3.6,1.2,2.1,40.9,40.1,33.6,36.6,75.0,75.3,50.6,50.6,13.0,10.9,0.5,3.6
Ronnie Valentine,24,3.5,1.3,0.3,37.8,50.0,47.4,38.3,10.3,-0.3
John Vallely,100,3.6,0.7,0.8,37.9,72.1,9.6,-0.3
Dick Van Arsdale,921,16.4,4.1,3.3,46.4,79.0,14.4,75.2
Tom Van Arsdale,929,15.3,4.2,2.2,43.1,76.2,13.0,36.6
Nick Van Exel,880,14.4,2.9,6.6,40.5,35.7,79.4,47.1,15.8,55.9
Keith Van Horn,575,16.0,6.8,1.6,44.3,36.1,83.5,48.2,16.8,41.7
Norm Van Lier,746,11.8,4.8,7.0,41.4,78.0,14.0,47.8
Dennis Van Zant,1,2.0,1.0,0.0,-,-,100.0,-,39.3,0.0
Fred VanVleet,54,231,17.6,10.5,3.8,2.6,6.6,4.1,41.3,41.2,39.0,39.3,84.8,84.2,50.7,50.5,16.3,15.0,5.8,15.1
Gene Vance,175,8.3,3.0,2.3,31.5,68.7,5.9,10.3
Logan Vander Velden,15,0.6,0.4,0.1,21.4,0.0,75.0,21.4,1.8,-0.1
Jarred Vanderbilt,11,28,1.1,1.3,0.8,1.1,0.2,0.2,62.5,51.9,0.0,0.0,100.0,66.7,62.5,51.9,7.6,10.4,0.0,0.0
Ernie Vandeweghe,224,9.5,4.6,2.4,42.1,74.0,17.1,18.1
Kiki Vandeweghe,810,19.7,3.4,2.1,52.5,36.8,87.2,53.4,18.4,75.6
Nick Vanos,68,3.3,3.5,0.9,38.3,0.0,56.1,38.3,7.7,-0.1
David Vanterpool,22,5.5,1.7,3.0,41.8,0.0,60.0,41.8,10.9,0.0
Ratko Varda,1,5.0,1.0,0.0,66.7,-,100.0,66.7,15.0,0.0
Anderson Varejão,627,7.3,7.2,1.2,51.0,2.4,63.1,51.1,15.6,46.4
Jarvis Varnado,37,2.9,1.9,0.4,58.2,-,51.8,58.2,11.5,0.7
Greivis Vásquez,401,9.0,2.5,4.8,41.8,34.9,81.7,48.0,13.7,12.6
Chico Vaughn,491,11.9,2.5,2.1,39.2,30.1,73.8,42.0,12.1,18.0
David Vaughn,93,10.7,9.8,1.5,42.1,0.0,54.9,42.1,13.6,1.6
David Vaughn,118,2.9,3.1,0.3,42.3,0.0,63.8,42.3,10.1,0.6
Jacque Vaughn,776,4.5,1.3,2.5,42.9,35.2,77.9,44.5,10.1,15.4
Rashad Vaughn,139,3.0,1.1,0.5,33.7,31.3,69.2,42.4,5.9,-0.6
Virgil Vaughn,17,2.6,-,0.6,19.2,53.6,-,-0.3
Loy Vaught,689,10.1,7.1,0.9,50.4,24.4,71.8,50.6,15.4,35.8
Bob Verga,342,20.2,3.9,2.9,43.8,29.6,74.9,44.9,17.5,19.7
Pete Verhoeven,282,3.5,2.3,0.5,50.5,25.0,68.9,50.5,10.3,5.2
Jan Veselý,162,3.6,3.5,0.6,52.1,0.0,40.8,52.1,10.9,4.0
Gundars Vētra,13,3.5,0.6,0.5,47.5,100.0,66.7,51.3,13.6,0.1
João Vianna,1,2.0,0.0,2.0,50.0,-,-,50.0,1.0,0.0
Charlie Villanueva,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16.0,22.6
Gabe Vincent,9,9,2.4,2.4,0.6,0.6,0.7,0.7,21.6,21.6,22.2,22.2,-,-,29.7,29.7,1.2,1.2,-0.2,-0.2
Jay Vincent,576,15.2,5.5,2.0,47.4,14.8,78.4,47.4,15.9,27.5
Sam Vincent,396,7.8,2.1,3.9,44.9,18.2,86.3,45.2,14.1,10.9
Marcus Vinicius,26,1.9,0.7,0.3,45.7,42.1,55.6,57.1,8.8,0.2
Fred Vinson,13,1.3,0.1,0.1,25.0,23.1,66.7,31.3,-2.0,-0.2
Claude Virden,31,9.9,5.0,2.4,39.8,0.0,78.0,39.8,9.6,0.4
Gary Voce,1,2.0,2.0,0.0,33.3,-,-,33.3,19.2,0.0
Floyd Volker,54,7.4,-,2.1,30.9,55.0,-,-2.0
Alexander Volkov,149,6.8,2.6,2.2,45.5,33.3,61.3,48.3,14.1,4.5
Whitey Von Nieda,59,5.3,-,2.4,35.7,63.5,-,2.3
Noah Vonleh,36,335,3.7,5.0,3.4,5.2,0.8,0.8,56.5,46.0,20.0,31.0,78.1,69.1,58.2,49.4,15.5,12.0,1.0,9.3
Jake Voskuhl,450,4.0,3.4,0.5,48.7,33.3,71.4,48.8,10.8,11.6
Danny Vranes,510,5.1,3.9,1.2,49.6,10.5,57.0,49.6,9.3,15.3
Slavko Vraneš,1,0.0,0.0,0.0,0.0,-,-,0.0,-20.4,0.0
Stojko Vranković,170,2.8,3.0,0.3,47.7,-,59.8,47.7,9.7,1.3
Brett Vroman,11,3.1,2.3,0.8,37.0,0.0,73.7,37.0,11.8,0.1
Jackson Vroman,87,3.3,3.0,0.6,40.8,0.0,58.0,40.8,8.2,0.0
Nikola Vučević,62,598,19.6,16.1,10.9,10.2,3.6,2.6,47.7,49.9,33.9,33.5,78.4,74.6,52.5,51.6,21.9,20.5,6.4,48.1
Sasha Vujačić,581,5.3,1.9,1.3,39.0,36.7,85.8,48.7,11.5,16.0
Butch van Breda Kolff,175,4.7,-,1.5,30.5,66.9,-,9.4
Jan van Breda Kolff,598,6.2,4.3,2.0,44.4,28.2,82.1,44.5,10.4,22.3
