Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Dean Wade,12,12,1.7,1.7,1.6,1.6,0.2,0.2,69.2,69.2,50.0,50.0,0.0,0.0,76.9,76.9,13.9,13.9,0.2,0.2
Dwyane Wade,1054,22.0,4.7,5.4,48.0,29.3,76.5,49.5,23.5,120.7
Mark Wade,12,0.7,1.3,3.0,15.0,0.0,50.0,15.0,4.9,-0.3
Von Wafer,200,5.3,1.2,0.7,42.0,32.5,75.1,47.5,11.8,3.3
Clint Wager,63,2.3,-,1.4,28.1,61.7,-,1.5
Dajuan Wagner,103,9.4,1.4,1.9,36.6,32.1,77.0,41.4,9.9,0.0
Danny Wagner,11,6.3,-,1.6,35.2,88.6,-,0.6
Milt Wagner,53,4.1,0.7,1.4,42.2,29.6,87.5,44.1,10.6,0.4
Moritz Wagner,45,88,8.7,6.8,4.9,3.5,1.2,0.9,54.5,49.4,31.3,29.9,82.1,81.8,59.2,54.8,15.1,13.4,1.7,1.9
Phillip Wagner,12,3.0,1.9,1.2,26.8,25.0,76.5,28.0,0.5,-0.1
Dion Waiters,10,419,11.1,13.1,2.4,2.6,2.0,2.8,41.4,41.2,31.9,34.6,82.4,69.4,49.0,46.8,11.5,12.0,0.1,8.8
Granville Waiters,249,2.4,2.2,0.5,45.8,0.0,55.9,45.8,8.3,1.9
Andre Wakefield,81,2.3,1.0,0.9,35.4,-,70.8,35.4,4.4,-1.1
Neal Walk,568,12.6,7.7,2.1,45.9,75.8,16.9,30.3
Andy Walker,40,4.5,1.9,0.8,46.2,76.6,13.0,0.7
Antoine Walker,893,17.5,7.7,3.5,41.4,32.5,63.3,46.1,16.0,38.1
Brady Walker,228,7.0,5.4,1.4,38.0,63.3,15.5,6.9
Chet Walker,1032,18.2,7.1,2.1,47.0,79.6,17.6,117.4
Darrell Walker,720,8.9,4.4,4.6,43.5,5.9,71.3,43.5,13.7,27.4
Foots Walker,658,6.4,2.6,4.7,43.5,22.7,76.2,43.6,13.7,31.0
Henry Walker,181,6.0,2.2,0.8,44.6,36.9,76.0,55.6,10.8,5.0
Horace Walker,65,6.7,7.2,1.1,33.9,72.5,10.2,0.3
Jimmy Walker,698,16.7,2.7,3.5,46.1,82.9,14.4,42.9
Kemba Walker,56,661,20.4,19.9,3.9,3.8,4.8,5.4,42.5,41.9,38.1,36.0,86.4,83.7,52.6,48.6,20.0,19.4,5.9,54.4
Kenny Walker,448,7.0,4.0,0.7,48.5,20.6,74.9,48.7,11.9,17.9
Lonnie Walker,61,78,6.4,5.6,2.3,2.0,1.1,1.0,42.6,41.7,40.6,40.4,72.1,73.2,48.3,47.4,10.5,10.5,0.3,0.4
Phil Walker,40,4.5,1.3,1.4,35.4,66.7,9.0,-0.4
Samaki Walker,445,5.3,4.7,0.6,46.2,11.1,63.0,46.2,12.7,14.2
Wally Walker,565,7.0,3.1,1.5,46.7,20.0,64.3,46.7,11.4,12.9
John Wall,573,19.0,4.3,9.2,43.3,32.4,78.1,46.2,19.4,44.3
Ben Wallace,1088,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5
Gerald Wallace,832,11.9,5.8,2.1,46.9,31.2,70.9,49.6,16.3,59.7
John Wallace,381,7.6,2.8,0.7,46.2,30.0,74.0,46.5,14.0,6.4
Rasheed Wallace,1109,14.4,6.7,1.8,46.7,33.6,72.1,50.7,17.0,105.1
Red Wallace,61,9.1,-,1.0,27.8,54.1,-,1.9
Tyrone Wallace,14,106,2.9,5.2,1.6,2.2,0.9,1.2,31.8,42.5,6.7,20.3,64.7,67.1,33.0,44.0,3.9,8.3,-0.2,0.2
Dwight Waller,20,2.0,2.7,0.3,37.8,0.0,46.2,37.8,7.1,0.1
Jamie Waller,9,4.7,1.4,0.3,40.0,0.0,55.6,40.0,7.1,-0.2
Jim Walsh,10,2.0,1.5,0.8,18.5,58.8,5.0,-0.2
Matt Walsh,2,1.0,0.0,0.0,100.0,-,0.0,100.0,-2.4,0.0
Rex Walters,335,4.6,1.2,1.7,44.1,36.1,80.9,51.4,11.2,6.3
Paul Walther,370,7.7,3.7,2.6,36.2,70.8,12.9,20.3
Isaac Walthour,4,0.5,0.3,0.5,16.7,-,-5.4,-0.1
Bill Walton,468,13.3,10.5,3.4,52.1,0.0,66.0,52.1,20.0,39.3
Derrick Walton,26,42,2.0,2.0,0.6,0.8,1.0,1.0,46.2,40.6,41.7,41.5,77.8,86.7,59.0,53.9,8.7,9.7,0.6,1.0
Lloyd Walton,341,4.2,1.1,3.6,45.4,25.0,71.1,45.5,11.4,5.2
Luke Walton,564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5
Brad Wanamaker,71,107,6.9,5.9,2.0,1.7,2.5,2.2,44.8,45.4,36.3,37.6,92.6,91.5,49.9,51.1,12.8,13.1,3.5,4.5
Bobby Wanzer,568,12.2,4.5,3.2,39.3,80.2,17.2,63.9
Perry Warbington,5,2.0,1.6,3.2,19.0,100.0,3.1,-0.3
Charlie Ward,630,6.3,2.6,4.0,40.8,36.4,77.1,50.2,13.8,33.0
Gerry Ward,169,3.2,1.7,1.4,35.6,63.9,6.6,1.0
Henry Ward,88,4.7,2.0,0.5,44.4,26.1,70.5,45.2,11.3,0.6
