Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Guerschon Yabusele,74,2.3,1.4,0.4,44.2,32.3,68.2,51.8,12.4,1.1
Vincent Yarbrough,59,6.9,2.7,2.2,39.3,26.9,79.0,41.7,9.5,1.0
George Yardley,472,19.2,8.9,1.7,42.2,78.0,20.5,58.5
Barry Yates,24,2.9,1.7,0.3,37.3,63.6,10.7,-0.2
Wayne Yates,37,1.9,2.5,0.4,29.5,45.5,4.1,-0.5
Charlie Yelverton,69,7.9,2.9,1.2,38.9,70.7,10.3,-0.5
Rich Yonakor,10,3.3,2.7,0.3,53.8,-,71.4,53.8,20.4,0.3
Danny Young,574,4.6,1.2,2.9,43.7,32.7,83.5,48.0,12.2,20.2
James Young,95,2.3,1.0,0.3,36.7,27.7,56.3,45.7,7.4,0.8
Joe Young,127,3.4,1.0,0.9,39.3,29.6,76.8,44.0,10.2,0.4
Korleone Young,3,4.3,1.3,0.3,50.0,25.0,100.0,55.0,31.3,0.1
Michael Young,49,4.6,1.8,0.5,46.5,29.6,71.1,48.5,15.5,1.1
Nick Young,720,11.4,2.0,1.0,41.8,37.6,83.6,49.3,12.9,18.6
Perry Young,9,1.4,0.9,0.8,28.6,-,50.0,28.6,3.0,-0.1
Sam Young,249,5.8,2.3,0.7,44.2,28.0,74.2,46.2,11.5,5.2
Thaddeus Young,64,965,10.3,13.2,4.9,5.9,1.8,1.7,44.8,49.8,35.6,33.3,58.3,67.0,51.3,52.0,13.3,16.2,1.9,61.6
Tim Young,25,2.2,1.4,0.2,33.3,-,77.8,33.3,11.7,0.2
Trae Young,60,141,29.6,23.6,4.3,3.9,9.3,8.6,43.7,42.8,36.1,34.4,86.0,84.7,51.9,50.0,23.9,20.2,5.9,9.1
Sun Yue,10,0.6,0.0,0.2,27.3,0.0,-,27.3,-8.6,-0.1
