Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Max Zaslofsky,540,14.8,2.8,2.0,34.3,76.9,13.5,48.3
Zeke Zawoluk,179,6.8,4.1,1.2,37.2,76.7,14.1,8.2
Cody Zeller,58,419,11.1,8.6,7.1,6.0,1.5,1.4,52.4,51.3,24.0,24.8,68.2,73.1,54.3,51.9,18.8,16.0,3.6,27.7
Dave Zeller,61,1.5,0.4,1.0,35.3,75.0,9.1,-0.1
Gary Zeller,90,3.2,1.1,0.4,33.2,0.0,59.4,33.2,4.2,-1.9
Harry Zeller,48,7.5,-,0.6,31.4,68.9,-,3.7
Luke Zeller,16,1.2,0.6,0.2,34.6,20.0,-,36.5,5.6,-0.1
Tyler Zeller,2,414,1.0,6.9,2.0,4.4,0.0,0.9,25.0,50.8,-,28.6,-,76.4,25.0,51.1,22.4,14.9,0.0,17.1
Tony Zeno,8,1.8,1.8,0.1,28.6,-,100.0,28.6,0.2,-0.2
Phil Zevenbergen,8,3.8,1.6,0.4,55.6,-,0.0,55.6,13.7,0.0
Wang Zhizhi,137,4.4,1.7,0.3,41.7,38.5,73.5,48.5,14.2,2.1
George Zídek,135,3.4,2.1,0.2,40.8,25.0,78.3,40.9,8.7,0.8
Derrick Zimmerman,2,2.0,2.0,3.5,66.7,-,-,66.7,5.5,0.0
Stephen Zimmerman,19,1.2,1.8,0.2,32.3,-,60.0,32.3,7.3,0.0
Paul Zipser,98,4.7,2.6,0.8,37.1,33.5,76.9,44.8,6.1,0.0
Ante Žižić,22,113,4.4,6.0,3.0,3.9,0.3,0.6,56.9,58.1,-,-,73.7,71.1,56.9,58.1,16.4,17.4,0.5,3.5
Jim Zoet,7,0.3,1.1,0.1,20.0,-,-,20.0,-0.8,-0.1
Bill Zopf,53,2.2,0.9,1.4,36.3,55.6,9.6,-0.1
Ivica Zubac,72,212,8.3,7.4,7.5,5.6,1.1,0.9,61.3,56.5,0.0,0.0,74.7,75.5,61.3,56.5,21.7,19.2,6.6,12.0
Matt Zunic,56,4.9,-,0.9,30.3,70.6,-,2.0
